Type, Make, Model, year, trim, km_driven, min_Price, max_price, engine_displacement, mielage, current_price
Bike, Yamaha, Gladiator, 2011, 125cc, 1000, 20000, 22000, 123.7, 50, 78000
Bike, KTM, Duke, 2020, 125cc, 500, 180000, 190000, 373, 35 , 730000
Bike, KTM, Duke, 2018, 125cc, 500, 150000, 160000, 373, 35 , 730000
Bike, TVS, Apache Rr, 2019, 310 Slipper Clutch, 1500, 200000, 210000, 312.2, 33.1, 400000
Bike, TVS, Apache Rr, 2019, 310 Sliper Clutch, 200,  260000, 210000, 312.2, 33.1, 400000
Bike, Royal Enfield, Classic Chrome, 2020, 500cc, 10, 300000, 330000, 125, 65, 195000
Bike, Yamaha, FZS-FI v 3.0, 2021, 150cc ABS BS6, 10, 150000, 160000, 149, 53, 309900

Bike, KTM, Duke, 2021, 390cc BS6, 10, 425000, 440000, 373.2, 35, 465000 
Bike, KTM, Duke, 2021, 390cc BS6, 100, 425000, 440000, 373.2, 35, 465000 
Bike, KTM, Duke, 2021, 390cc BS6, 1000, 425000, 435000, 373.2, 35, 465000 
Bike, KTM, Duke, 2021, 390cc BS6, 2000, 425000, 433000, 373.2, 35, 465000 
Bike, KTM, Duke, 2021, 390cc BS6, 3000, 423000, 430000, 373.2, 35, 465000 
Bike, KTM, Duke, 2021, 390cc BS6, 5000, 420000, 430000, 373.2, 35, 465000 
Bike, KTM, Duke, 2021, 390cc BS6, 6000, 416000, 430000, 373.2, 35, 465000 
Bike, KTM, Duke, 2021, 390cc BS6, 7000, 409000, 429000, 373.2, 35, 465000 
Bike, KTM, Duke, 2021, 390cc BS6, 9000, 400000, 425000, 373.2, 35, 465000 

Bike, KTM, Duke, 2020, 390cc BS6, 1000, 400000, 425000, 373.2, 35, 465000 
Bike, KTM, Duke, 2019, 390cc, 1000, 342000, 353000, 373.2, 35, 465000
Bike, KTM, Duke, 2017, 390cc, 1000, 255000, 270000, 373.2, 35, 465000
Bike, KTM, Duke, 2015, 390cc, 1000, 165000, 180000, 373.2, 35, 465000
Bike, KTM, Duke, 2013, 390cc, 1000, 142000, 156000, 373.2, 35, 465000
Bike, KTM, Duke, 2012, 390cc, 1000, 126000, 137000, 373.2, 35, 465000

Bike, KTM, Duke, 2021, 125cc BS6, 500, 260000, 272000, 124.7, 45, 295000
Bike, KTM, Duke 790, 2020, STANDARD, 500, 1200000,1500000, 799, 23  1400000 

Bike, Yamaha, MT-15, 2021, 150CC BS6, 1000, 240000, 254000, 155, 52, 245000
Bike, Yamaha, MT-15, 2020, 150CC BS6, 1000, 212000, 223000, 155, 52, 245000
Bike, Yamaha, MT-15, 2019, 150CC BS6, 1000, 195000, 197000, 155, 52, 245000

Bike, Yamaha, MT-15, 2020, 150CC BS6, 500, 211000, 224000, 155, 52, 245000
Bike, Yamaha, MT-15, 2020, 150CC BS6, 3000, 209000, 223000, 155, 52, 245000
Bike, Yamaha, MT-15, 2020, 150CC BS6, 5000, 205000, 217000, 155, 52, 245000
Bike, Yamaha, MT-15, 2020, 150CC BS6, 1000, 203000, 214000, 155, 52, 245000
Bike, Yamaha, MT-15, 2020, 150CC BS6, 1700, 202000, 214000, 155, 52, 245000
Bike, Yamaha, MT-15, 2020, 150CC BS6, 30000, 192000, 206000, 155, 52, 245000
Bike, Yamaha, MT-15, 2020, 150CC BS6, 50000, 176000, 187000, 155, 52, 245000











