Type, Make, Model, year, trim, km_driven, min_Price, max_price, engine_displacement, mielage, current_price

Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 1000, 60000, 65000
Bike, Hero, Splendor Pro, 2015, 100cc, 1000, 45000, 50000
Bike, Hero, Splendor Pro, 2012, 100cc, 1000, 30000, 35000
Bike, Hero, Splendor Pro, 2010, 100cc, 1000, 27000, 30000
Bike, Hero, Splendor Pro, 2007, 100c, 1000, 16000, 18000

Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 250, 60000, 63000
Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 500,60000, 66000
Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 1000, 60000, 66000
Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 1500, 60000, 66000
Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 2000, 60000, 66000
Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 2500, 60000, 66000
Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 3500, 56000, 60000
Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 5000, 55000, 59000
Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 7000, 53000, 58000
Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 9000, 52000, 58000
Bike, Hero, Splendor Pro, 2018, Self Alloy 100cc, 11000, 51000, 56000

Bike, Yamaha, Fz, 2017, Standard, 1000, 75000, 77000
BIke, Yamaha, TZ S V 3.0, 2019, 150CC ABS BS6, 1000, 125000, 135000

