price,brand,"model",make_year,kilometer,engine," fuel",current_price
3600000," mahindra"," scorpio s4+"," 2016"," 86000"," 2179"," disel",5000000
3300000," mahindra"," scorpio s4",2016," 125000"," 2200","disel ",5000000
1975000," Hyundai"," Xcent"," 2014"," 41000"," 1200"," petrol", 3700000
1750000," Honda"," civic"," 2007"," 51000"," 1800","petrol", 7500000
2500000,volkswagen,"polo",2013,"51000","1200","petrol", 3200000
600000,Maruti,"cargo",2013,"50000","800","petrol", 1000000
1299000,Hyundai,"santro",2009,"75000","1100","petrol", 3100000
2075000,Hyundai,"Grand",2013,"42000","1200","petrol", 3000000
3400000,"Ford ","Ecosport",2018,"8000","1500","petrol", 3700000
800000,Cheverolet,"spark",2009,"54000","1000","petrol", 2200000
2600000,Hyundai,"Verna sx",2014,"49000","1600","petrol", 5300000
2950000,Hyundai,"120 active s",2016,"32000","1200","petrol", 3900000
4250000,"Nissan ","Magnite",2021,"1400","1000","petrol", 4500000
2350000,TATA,"Tiago nrg",2019,"8000","1200","petrol",  3500000
875000,Toyota,"echo",2002,"85000",1200,"petrol", 1500000
1775000,Ford,"figo",2016,"27000","1200","petrol",2100000
2200000,Maruti suzuki,"swift",2014,"29000","1200","petrol", 3399000
11500000,Mitsubushi,"pajero",2013,"29000","2800","disel", 16500000
2600000,Volkswagen,"polo",2016,"300000","1600","petrol", 3200000
1850000,Mahindara,"bolero",2015,"58000","2500","disel", 3000000
5990000,Kia,"seltos",2021,"5000","1500","petrol", 6690000
1250000,Hyundai,"Eon Era+",2013,"40000","800","petrol", 1896000
3550000,Skoda,"Rapid",2018,"28000","1600","petrol", 4490000
2400000,Volkswagen,"Cross polo",2015,"41000","1600","petrol", 3200000
2125000,Maruti suzuki,"swift",2013,"37000","1200","petrol", 3399000
1300000,Nissan,"Supersallon",2004,"55000","1500","petrol", 2300000
1450000,Maruti suzuki,"Alto",2016,"55000","800","petrol", 1950000
1750000,Mahindra,"scorpio",2002,"85000","2600","disel",5000000
1025000,Chevrolet,"Aevo",2009,"41000","1200","petrol", 1595000
2450000,Maruti suzuki,"swift",2016,"45000","1200","petrol", 3399000
2400000,Hyundai,"Tucson",2008,"58000","2000","disel", 8900000
1350000,Ford,"Figo",2013,"39000","1200","petrol",2100000
1450000,Datsan,"Ready go",2018,"28000","1000","petrol", 2199000
6200000,Volkswagen,"Tiguan",2013,"24000","2000","petrol", 12300000
5125000,Mahindra,"scorpio",2019,"17000","2200","disel",5000000
2075000,Hyundai,"Grand",2015,"39000","1200","petrol", 3000000
2925000,Ford,"Freestyle",2019,"11000","1200","petrol", 3500000
2700000,Hyundai,"Verna",2014,"42000","1600","petrol", 5300000
1725000,Maruti suzuki,"dzire",2014,"28000","1000","petrol", 3279000
2825000,Skoda,"rapid",2015,"29000","1600","petrol", 4490000
2635000,Hyundai,"elite manga",2016,"21000","1200","petrol", 3000000
6900000,Honda,"Cr-V",2015,"28000",21000,"petrol", 107000
1525000,Nissan,"Sunny Supersaloon",2008,"69000","1500","petrol", 2188000
1450000,Ford,"figo",2013,"34000","1200","petrol",2100000
2400000,Toyota,"Etios cross",2015,"28000","1500","petrol", 4400000
1650000,Maruti suzuki,"swift",2015,"39000","1000","petrol", 3399000
1100000,Maruti suzuki,"swift",2005,"68000","1300","petrol", 3399000
2825000,Ford,"Ecosport",2016,"39000","1500","disel", 3700000
1150000,Suzuki,"Alto",2011,"39000","1000","petrol", 1950000
5500000,Hyundai,"Creta",2019,"22000","1600","petrol", 6600000
