SUMMARY OUTPUT								
								
Regression Statistics								
Multiple R	0.8000630299							
R Square	0.6401008518							
Adjusted R Square	0.619237133							
Standard Error	1.044409214							
Observations	74							
								
ANOVA								
	df	SS	MS	F	Significance F			
Regression	4	133.8622333	33.46555832	30.68009398	0			
Residual	69	75.26455184	1.090790606					
Total	73	209.1267851						
								
	Coefficients	Standard Error	t Stat	P-value	Lower 95%	Upper 95%	Lower 95%	Upper 95%
Intercept	-0.2621230136	0.3165211158	-0.8281375254	0.4104479146	-0.8935653544	0.3693193273	-0.8935653544	0.3693193273
Year (in 2000s)	0.0007224678263	0.001049433127	0.6884362687	0.4934862767	-0.001371093953	0.002816029605	-0.001371093953	0.002816029605
Engine ( in 100)	0.3571528655	0.1839711436	1.94135264	0.05630045785	-0.009859519462	0.7241652504	-0.009859519462	0.7241652504
mielage ( in 10 cc)	0.00001820555957	0.02004447069	0.0009082584346	0.99927796	-0.03996941883	0.04000582995	-0.03996941883	0.04000582995
current price (in 100000)	0.525169475	0.119131224	4.408327702	0.00003736425576	0.2875091888	0.7628297611	0.2875091888	0.7628297611
