SUMMARY OUTPUT								
								
Regression Statistics								
Multiple R	1							
R Square	1							
Adjusted R Square	1							
Standard Error	710129.6823							
Observations	87							
								
ANOVA								
	df	SS	MS	F	Significance F			
Regression	4	#NUM!	#NUM!	#NUM!	#NUM!			
Residual	82	41351301589911	504284165731					
Total	86	#NUM!						
								
	Coefficients	Standard Error	t Stat	P-value	Lower 95%	Upper 95%		
Intercept	-293808096	40846586.45	-7.192965718	0.0000000002703343652	-375064967	-212551225.1		
make_year	145906.318	20275.70428	7.196115903	0.0000000002665368481	105571.484	186241.1521		
 kilometer	-0.05562270716	2.304243228	-0.02413925165	0.9808001712	-4.639496438	4.528251023		
 engine	324.4201444	35.66545614	9.096200623	0	253.4701919	395.3700968		
current_price	0.5215387324	0.03093111161	16.86129936	0	0.4600068992	0.5830705656		

// summary output 2

SUMMARY OUTPUT								
								
Regression Statistics								
Multiple R	0.917720479							
R Square	0.8422108775							
Adjusted R Square	0.8345138472							
Standard Error	7.101296823							
Observations	87							
								
ANOVA								
	df	SS	MS	F	Significance F			
Regression	4	22071.55693	5517.889233	109.4202358	0			
Residual	82	4135.130159	50.42841657					
Total	86	26206.68709						
								
	Coefficients	Standard Error	t Stat	P-value	Lower 95%	Upper 95%		
Intercept	-19.9546002	3.51656059	-5.674465059	0.0000002034378498	-26.95015931	-12.95904109		
make_year(in 2000s)	1.45906318	0.2027570428	7.196115903	0.0000000002665368484	1.05571484	1.86241152		
Km driven(in 10,000)	-0.005562271633	0.2304243228	-0.02413925563	0.980800168	-0.4639496447	0.4528251014		
engine ( in 1000cc)	3.244201446	0.3566545614	9.096200632	0	2.534701922	3.953700971		
current price (in Rs 1,00,000)	0.5215387329	0.03093111161	16.86129938	0	0.4600068997	0.5830705661		
